accession,scientificName,class,target_gene,sequence_length_bp,locality,title,database_source
OR295928.1,Lutjanus argentimaculatus,Actinopterygii,COI,679,Western Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR572255.1,Lutjanus argentimaculatus,Actinopterygii,COI,690,Arabian Sea,"Lutjanus argentimaculatus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR120263.1,Epinephelus coioides,Actinopterygii,16S rRNA,565,Arabian Sea,"Epinephelus coioides voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR287003.1,Scomberomorus commerson,Actinopterygii,16S rRNA,567,Laccadive Sea,"Scomberomorus commerson voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR801906.1,Thunnus albacares,Actinopterygii,COI,680,Gulf of Oman,"Thunnus albacares voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR188375.1,Rhynchobatus djiddensis,Elasmobranchii,COI,708,Red Sea,"Rhynchobatus djiddensis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR109992.1,Epinephelus coioides,Actinopterygii,16S rRNA,563,Laccadive Sea,"Epinephelus coioides voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR971425.1,Mobula alfredi,Elasmobranchii,COI,630,Red Sea,"Mobula alfredi voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR227177.1,Nemipterus japonicus,Actinopterygii,COI,629,Gulf of Oman,"Nemipterus japonicus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_643035,Mobula alfredi,Elasmobranchii,12S rRNA,389,Indian Ocean,"Mobula alfredi voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR175277.1,Chaetodon pictus,Actinopterygii,12S rRNA,360,Arabian Sea,"Chaetodon pictus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR722061.1,Taeniura lymma,Elasmobranchii,COI,613,Western Indian Ocean,"Taeniura lymma voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR585678.1,Scomberomorus commerson,Actinopterygii,12S rRNA,387,Red Sea,"Scomberomorus commerson voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR188546.1,Mobula alfredi,Elasmobranchii,12S rRNA,356,Western Indian Ocean,"Mobula alfredi voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR492112.1,Carcharhinus limbatus,Elasmobranchii,COI,707,Indian Ocean,"Carcharhinus limbatus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR504362.1,Katsuwonus pelamis,Actinopterygii,Control Region,910,Arabian Sea,"Katsuwonus pelamis voucher specimen from Arabian Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR762421.1,Sardinella longiceps,Actinopterygii,CYTB,957,Indian Ocean,"Sardinella longiceps voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR818600.1,Sardinella longiceps,Actinopterygii,COI,666,Western Indian Ocean,"Sardinella longiceps voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR307148.1,Sarda orientalis,Actinopterygii,COI,602,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_742162,Scomberomorus commerson,Actinopterygii,COI,670,Red Sea,"Scomberomorus commerson voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR462665.1,Scomberomorus commerson,Actinopterygii,COI,609,Indian Ocean,"Scomberomorus commerson voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR867230.1,Nemipterus japonicus,Actinopterygii,12S rRNA,410,Gulf of Oman,"Nemipterus japonicus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR812747.1,Sarda orientalis,Actinopterygii,COI,707,Indian Ocean,"Sarda orientalis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR639197.1,Rhynchobatus djiddensis,Elasmobranchii,COI,608,Gulf of Oman,"Rhynchobatus djiddensis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR559205.1,Pempheris rhomboidea,Actinopterygii,COI,696,Western Indian Ocean,"Pempheris rhomboidea voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR843628.1,Sarda orientalis,Actinopterygii,16S rRNA,531,Gulf of Oman,"Sarda orientalis voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR811807.1,Katsuwonus pelamis,Actinopterygii,COI,625,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR514048.1,Thunnus albacares,Actinopterygii,12S rRNA,359,Laccadive Sea,"Thunnus albacares voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR947650.1,Rhynchobatus djiddensis,Elasmobranchii,COI,638,Gulf of Oman,"Rhynchobatus djiddensis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_852369,Taeniura lymma,Elasmobranchii,COI,713,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR624036.1,Mobula alfredi,Elasmobranchii,Control Region,868,Gulf of Oman,"Mobula alfredi voucher specimen from Gulf of Oman Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR398295.1,Pampus argenteus,Actinopterygii,12S rRNA,367,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR511106.1,Lethrinus nebulosus,Actinopterygii,COI,679,Arabian Sea,"Lethrinus nebulosus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR582469.1,Pempheris rhomboidea,Actinopterygii,12S rRNA,382,Laccadive Sea,"Pempheris rhomboidea voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR148035.1,Lutjanus argentimaculatus,Actinopterygii,COI,644,Laccadive Sea,"Lutjanus argentimaculatus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR480807.1,Taeniura lymma,Elasmobranchii,COI,691,Arabian Sea,"Taeniura lymma voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR153843.1,Carcharhinus limbatus,Elasmobranchii,Control Region,1028,Western Indian Ocean,"Carcharhinus limbatus voucher specimen from Western Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR614065.1,Sarda orientalis,Actinopterygii,16S rRNA,533,Western Indian Ocean,"Sarda orientalis voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR498793.1,Sarda orientalis,Actinopterygii,COI,618,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_706769,Rhynchobatus djiddensis,Elasmobranchii,16S rRNA,503,Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR170891.1,Nemipterus japonicus,Actinopterygii,COI,713,Gulf of Oman,"Nemipterus japonicus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR479963.1,Carcharhinus falciformis,Elasmobranchii,COI,612,Red Sea,"Carcharhinus falciformis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR775137.1,Thunnus albacares,Actinopterygii,12S rRNA,359,Bay of Bengal,"Thunnus albacares voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR911416.1,Epinephelus coioides,Actinopterygii,COI,651,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR778065.1,Nemipterus japonicus,Actinopterygii,COI,621,Western Indian Ocean,"Nemipterus japonicus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR459514.1,Thunnus albacares,Actinopterygii,12S rRNA,443,Bay of Bengal,"Thunnus albacares voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR291046.1,Lethrinus nebulosus,Actinopterygii,16S rRNA,546,Laccadive Sea,"Lethrinus nebulosus voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR146305.1,Sarda orientalis,Actinopterygii,12S rRNA,391,Western Indian Ocean,"Sarda orientalis voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR735236.1,Katsuwonus pelamis,Actinopterygii,COI,701,Bay of Bengal,"Katsuwonus pelamis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_281434,Sphyrna lewini,Elasmobranchii,COI,712,Bay of Bengal,"Sphyrna lewini voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR897609.1,Galeocerdo cuvier,Elasmobranchii,COI,606,Western Indian Ocean,"Galeocerdo cuvier voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR951043.1,Nemipterus japonicus,Actinopterygii,COI,630,Red Sea,"Nemipterus japonicus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR975892.1,Chaetodon pictus,Actinopterygii,COI,607,Red Sea,"Chaetodon pictus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR593858.1,Rhynchobatus djiddensis,Elasmobranchii,COI,700,Arabian Sea,"Rhynchobatus djiddensis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR459525.1,Sphyrna lewini,Elasmobranchii,COI,622,Indian Ocean,"Sphyrna lewini voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR119657.1,Epinephelus coioides,Actinopterygii,16S rRNA,590,Laccadive Sea,"Epinephelus coioides voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR803164.1,Lethrinus nebulosus,Actinopterygii,COI,611,Western Indian Ocean,"Lethrinus nebulosus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR355247.1,Mobula alfredi,Elasmobranchii,12S rRNA,449,Red Sea,"Mobula alfredi voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR457459.1,Carcharhinus limbatus,Elasmobranchii,COI,693,Gulf of Oman,"Carcharhinus limbatus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_974552,Chaetodon pictus,Actinopterygii,COI,709,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR645505.1,Epinephelus coioides,Actinopterygii,COI,652,Western Indian Ocean,"Epinephelus coioides voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR355284.1,Pampus argenteus,Actinopterygii,COI,640,Laccadive Sea,"Pampus argenteus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR457048.1,Sarda orientalis,Actinopterygii,12S rRNA,389,Arabian Sea,"Sarda orientalis voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR256041.1,Chaetodon pictus,Actinopterygii,COI,663,Laccadive Sea,"Chaetodon pictus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR791502.1,Taeniura lymma,Elasmobranchii,12S rRNA,400,Laccadive Sea,"Taeniura lymma voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR351735.1,Thunnus albacares,Actinopterygii,12S rRNA,369,Red Sea,"Thunnus albacares voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR832036.1,Sardinella longiceps,Actinopterygii,Control Region,900,Red Sea,"Sardinella longiceps voucher specimen from Red Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR670981.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,437,Gulf of Oman,"Carcharhinus falciformis voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR533860.1,Sarda orientalis,Actinopterygii,12S rRNA,401,Arabian Sea,"Sarda orientalis voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_637067,Scomberomorus commerson,Actinopterygii,12S rRNA,443,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR311532.1,Nemipterus japonicus,Actinopterygii,Control Region,962,Indian Ocean,"Nemipterus japonicus voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR896529.1,Pempheris rhomboidea,Actinopterygii,16S rRNA,517,Western Indian Ocean,"Pempheris rhomboidea voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR971853.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,398,Western Indian Ocean,"Carcharhinus falciformis voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR316709.1,Epinephelus coioides,Actinopterygii,COI,639,Red Sea,"Epinephelus coioides voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR163588.1,Sphyrna lewini,Elasmobranchii,COI,717,Bay of Bengal,"Sphyrna lewini voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR925589.1,Epinephelus coioides,Actinopterygii,16S rRNA,559,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR627164.1,Mobula alfredi,Elasmobranchii,CYTB,1038,Laccadive Sea,"Mobula alfredi voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR335908.1,Epinephelus coioides,Actinopterygii,Control Region,818,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR871457.1,Epinephelus coioides,Actinopterygii,COI,684,Arabian Sea,"Epinephelus coioides voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_294971,Katsuwonus pelamis,Actinopterygii,12S rRNA,392,Gulf of Oman,"Katsuwonus pelamis voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR661212.1,Taeniura lymma,Elasmobranchii,12S rRNA,388,Indian Ocean,"Taeniura lymma voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR760050.1,Lethrinus nebulosus,Actinopterygii,COI,697,Indian Ocean,"Lethrinus nebulosus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR349771.1,Sardinella longiceps,Actinopterygii,COI,690,Red Sea,"Sardinella longiceps voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR496675.1,Pempheris rhomboidea,Actinopterygii,COI,618,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR369211.1,Thunnus albacares,Actinopterygii,12S rRNA,429,Arabian Sea,"Thunnus albacares voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR229113.1,Sardinella longiceps,Actinopterygii,COI,691,Gulf of Oman,"Sardinella longiceps voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR743413.1,Sphyrna lewini,Elasmobranchii,COI,716,Bay of Bengal,"Sphyrna lewini voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR309715.1,Thunnus albacares,Actinopterygii,COI,703,Indian Ocean,"Thunnus albacares voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR109493.1,Katsuwonus pelamis,Actinopterygii,COI,715,Gulf of Oman,"Katsuwonus pelamis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_168529,Sphyrna lewini,Elasmobranchii,12S rRNA,441,Red Sea,"Sphyrna lewini voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR533233.1,Rhynchobatus djiddensis,Elasmobranchii,COI,646,Laccadive Sea,"Rhynchobatus djiddensis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR423173.1,Katsuwonus pelamis,Actinopterygii,COI,671,Laccadive Sea,"Katsuwonus pelamis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR868521.1,Carcharhinus falciformis,Elasmobranchii,COI,646,Red Sea,"Carcharhinus falciformis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR111572.1,Taeniura lymma,Elasmobranchii,12S rRNA,412,Red Sea,"Taeniura lymma voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR998851.1,Sardinella longiceps,Actinopterygii,12S rRNA,435,Gulf of Oman,"Sardinella longiceps voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR171997.1,Pempheris rhomboidea,Actinopterygii,COI,666,Laccadive Sea,"Pempheris rhomboidea voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR205597.1,Galeocerdo cuvier,Elasmobranchii,COI,645,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR252085.1,Pampus argenteus,Actinopterygii,16S rRNA,516,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR980341.1,Katsuwonus pelamis,Actinopterygii,16S rRNA,524,Bay of Bengal,"Katsuwonus pelamis voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_525881,Carcharhinus falciformis,Elasmobranchii,16S rRNA,519,Red Sea,"Carcharhinus falciformis voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR652375.1,Sardinella longiceps,Actinopterygii,COI,644,Western Indian Ocean,"Sardinella longiceps voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR580622.1,Sarda orientalis,Actinopterygii,COI,685,Bay of Bengal,"Sarda orientalis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
